position,medium,z_m,r_m,time_ms,model_mv,raw_model_mv
1,fluid,-0.023,0.0,0.10256606397774688,0.022920964465452266,0.022920964465452266
1,fluid,-0.023,0.0,0.10269123783031989,0.015753117982766414,0.015753117982766414
1,fluid,-0.023,0.0,0.1028164116828929,0.006564736116328557,0.006564736116328557
1,fluid,-0.023,0.0,0.10294158553546592,-0.0029483259455598885,-0.0029483259455598885
1,fluid,-0.023,0.0,0.10306675938803893,-0.01113220769512978,-0.01113220769512978
1,fluid,-0.023,0.0,0.10319193324061197,-0.016775032999396373,-0.016775032999396373
1,fluid,-0.023,0.0,0.10331710709318498,-0.019365952783643923,-0.019365952783643923
1,fluid,-0.023,0.0,0.10344228094575801,-0.019141718424780216,-0.019141718424780216
1,fluid,-0.023,0.0,0.10356745479833102,-0.016919291470654386,-0.016919291470654386
1,fluid,-0.023,0.0,0.10369262865090403,-0.013782134684394477,-0.013782134684394477
1,fluid,-0.023,0.0,0.10381780250347705,-0.0107314357348649,-0.0107314357348649
1,fluid,-0.023,0.0,0.10394297635605007,-0.008416681778433095,-0.008416681778433095
1,fluid,-0.023,0.0,0.10406815020862309,-0.007023156569421985,-0.007023156569421985
1,fluid,-0.023,0.0,0.10419332406119611,-0.006332381911034379,-0.006332381911034379
1,fluid,-0.023,0.0,0.10431849791376914,-0.005909214195056891,-0.005909214195056891
1,fluid,-0.023,0.0,0.10444367176634214,-0.005329325699984072,-0.005329325699984072
1,fluid,-0.023,0.0,0.10456884561891516,-0.004356515560586126,-0.004356515560586126
1,fluid,-0.023,0.0,0.10469401947148818,-0.0030096003193932617,-0.0030096003193932617
1,fluid,-0.023,0.0,0.1048191933240612,-0.0015090979468724897,-0.0015090979468724897
1,fluid,-0.023,0.0,0.10494436717663422,-0.00014317294543082464,-0.00014317294543082464
1,fluid,-0.023,0.0,0.10506954102920722,0.0008790908507935863,0.0008790908507935863
1,fluid,-0.023,0.0,0.10519471488178025,0.001520931333787556,0.001520931333787556
1,fluid,-0.023,0.0,0.10531988873435327,0.0019207643939620853,0.0019207643939620853
1,fluid,-0.023,0.0,0.10544506258692629,0.002310244499733723,0.002310244499733723
1,fluid,-0.023,0.0,0.10557023643949931,0.002890159313197736,0.002890159313197736
1,fluid,-0.023,0.0,0.10569541029207233,0.0,0.003723114471788674
1,fluid,-0.023,0.0,0.10582058414464535,0.0,0.004691865649492552
1,fluid,-0.023,0.0,0.10594575799721835,0.0,0.005541349891376157
1,fluid,-0.023,0.0,0.10607093184979138,0.0,0.005985125401754847
1,fluid,-0.023,0.0,0.10619610570236439,0.0,0.005829294261835226
1,fluid,-0.023,0.0,0.10632127955493742,0.0,0.005060436374258436
1,fluid,-0.023,0.0,0.10644645340751044,0.0,0.003860563914489602
1,fluid,-0.023,0.0,0.10657162726008346,0.0,0.002543718640513091
1,fluid,-0.023,0.0,0.10669680111265648,0.0,0.0014416233288825017
1,fluid,-0.023,0.0,0.10682197496522948,0.0,0.0007859087921870345
1,fluid,-0.023,0.0,0.10694714881780251,0.0,0.0006339624414187196
1,fluid,-0.023,0.0,0.10707232267037552,0.0,0.0008654956616911941
1,fluid,-0.023,0.0,0.10719749652294853,0.0,0.001246757376941612
1,fluid,-0.023,0.0,0.10732267037552157,0.0,0.0015320379410721813
1,fluid,-0.023,0.0,0.10744784422809459,0.0,0.0015589554344903557
1,fluid,-0.023,0.0,0.1075730180806676,0.0,0.0012997142201046558
1,fluid,-0.023,0.0,0.10769819193324061,0.0,0.0008515931881249049
1,fluid,-0.023,0.0,0.10782336578581364,0.0,0.00037657089633167073
1,fluid,-0.023,0.0,0.10794853963838665,0.0,2.0615414969811156e-05
1,fluid,-0.023,0.0,0.10807371349095966,0.0,-0.00015063556715933134
1,fluid,-0.023,0.0,0.10819888734353268,0.0,-0.00017306252794679504
1,fluid,-0.023,0.0,0.1083240611961057,0.0,-0.00015626065677928317
1,fluid,-0.023,0.0,0.10844923504867873,0.0,-0.00022298188820414717
1,fluid,-0.023,0.0,0.10857440890125174,0.0,-0.0004456826004405309
1,fluid,-0.023,0.0,0.10869958275382477,0.0,-0.0008096924712674195
1,fluid,-0.023,0.0,0.10882475660639777,0.0,-0.001219077879816288
1,fluid,-0.023,0.0,0.10894993045897079,0.0,-0.0015412856426292169
1,fluid,-0.023,0.0,0.10907510431154381,0.0,-0.0016692327801295457
1,fluid,-0.023,0.0,0.10920027816411683,0.0,-0.00157223730510082
1,fluid,-0.023,0.0,0.10932545201668985,0.0,-0.0013128707974005326
1,fluid,-0.023,0.0,0.10945062586926287,0.0,-0.0010224663569948105
1,fluid,-0.023,0.0,0.1095757997218359,0.0,-0.0008463985246486506
1,fluid,-0.023,0.0,0.1097009735744089,0.0,-0.0008832162139152576
1,fluid,-0.023,0.0,0.10982614742698192,0.0,-0.001143788679139264
1,fluid,-0.023,0.0,0.10995132127955494,0.0,-0.0015473078131658716
1,fluid,-0.023,0.0,0.11007649513212796,0.0,-0.0019547442046532314
1,fluid,-0.023,0.0,0.11020166898470098,0.0,-0.002224473897511243
1,fluid,-0.023,0.0,0.11032684283727398,0.0,-0.002266109996543807
1,fluid,-0.023,0.0,0.11045201668984703,0.0,-0.0020705092359580932
1,fluid,-0.023,0.0,0.11057719054242003,0.0,-0.0017051513597619629
1,fluid,-0.023,0.0,0.11070236439499305,0.0,-0.00127932253694749
1,fluid,-0.023,0.0,0.11082753824756607,0.0,-0.0008960062718682826
1,fluid,-0.023,0.0,0.11095271210013909,0.0,-0.0006118610886182878
1,fluid,-0.023,0.0,0.1110778859527121,0.0,-0.00042164649912151796
1,fluid,-0.023,0.0,0.11120305980528511,0.0,-0.00027166065272527196
1,fluid,-0.023,0.0,0.11132823365785814,0.0,-9.370729729410133e-05
1,fluid,-0.023,0.0,0.11145340751043115,0.0,0.00015739253934694838
1,fluid,-0.023,0.0,0.11157858136300418,0.0,0.0004801923296822875
1,fluid,-0.023,0.0,0.1117037552155772,0.0,0.0008270158541792779
1,fluid,-0.023,0.0,0.11182892906815022,0.0,0.0011269700704946194
1,fluid,-0.023,0.0,0.11195410292072323,0.0,0.0013198910499417245
1,fluid,-0.023,0.0,0.11207927677329624,0.0,0.0013849851324203213
1,fluid,-0.023,0.0,0.11220445062586927,0.0,0.0013509074461039146
1,fluid,-0.023,0.0,0.11232962447844227,0.0,0.0012828883260510477
1,fluid,-0.023,0.0,0.1124547983310153,0.0,0.0012530712793295607
1,fluid,-0.023,0.0,0.11257997218358833,0.0,0.001307677354230408
1,fluid,-0.023,0.0,0.11270514603616134,0.0,0.0014457417867258444
1,fluid,-0.023,0.0,0.11283031988873436,0.0,0.0016186962376295712
1,fluid,-0.023,0.0,0.11295549374130737,0.0,0.0017506539227592364
1,fluid,-0.023,0.0,0.1130806675938804,0.0,0.0017702019736413291
1,fluid,-0.023,0.0,0.1132058414464534,0.0,0.0016397943555729625
1,fluid,-0.023,0.0,0.11333101529902642,0.0,0.0013703731724092067
1,fluid,-0.023,0.0,0.11345618915159944,0.0,0.001015698289370109
1,fluid,-0.023,0.0,0.11358136300417247,0.0,0.0006498048901837278
1,fluid,-0.023,0.0,0.11370653685674549,0.0,0.00033802988061865823
1,fluid,-0.023,0.0,0.1138317107093185,0.0,0.00011417289304956247
1,fluid,-0.023,0.0,0.11395688456189153,0.0,-2.709467127870182e-05
