scan,scan_value,Porosity_used,k0_m2,Permeability_mD,Tortuosity,C_molL,pH,eta_Pa_s,K_f_Pa,Lambda_m,debye_d_m,L_abs,R_E_abs,T_TM_abs,RE_EE,TE_TM_TM,minus_TE_TM_TM,RE_Pr_Pr,matrix_cond
electrolyte_concentration_molL,2.1544346900318867e-05,0.24,3.9e-13,395.1674866729765,2.3,2.1544346900318867e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,6.581191050339185e-08,2.7570999494137133e-09,653888299.1984887,3.219755249073201e-05,2.1378495391434627e-06,-2.3473194199190407e-05,2.3473194199190407e-05,-0.056960433987903035,7.619386662823212e+25
electrolyte_concentration_molL,2.477076355991714e-05,0.24,3.9e-13,395.1674866729765,2.3,2.477076355991714e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,6.137640800024218e-08,2.7254174262118877e-09,645819744.5302026,3.103488387046898e-05,2.0854157121252815e-06,-2.524221532681238e-05,2.524221532681238e-05,-0.05696202510905551,7.701186761181374e+25
electrolyte_concentration_molL,2.8480358684358048e-05,0.24,3.9e-13,395.1674866729765,2.3,2.8480358684358048e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,5.7239843520695897e-08,2.693034123729807e-09,637520009.3547568,2.9788719883899813e-05,2.0321588116384464e-06,-2.6974865290817513e-05,2.6974865290817513e-05,-0.056963714946570286,7.785815464627484e+25
electrolyte_concentration_molL,3.274549162877732e-05,0.24,3.9e-13,395.1674866729765,2.3,3.274549162877732e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,5.3382069642472777e-08,2.6600017972030435e-09,628993633.3057348,2.8447563514455256e-05,1.978164953695746e-06,-2.8600350399924744e-05,2.8600350399924744e-05,-0.05696550778234166,7.874205916043929e+25
electrolyte_concentration_molL,3.7649358067924715e-05,0.24,3.9e-13,395.1674866729765,2.3,3.7649358067924715e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,4.9784296812123245e-08,2.626368635509641e-09,620243016.1220586,2.7011473207027995e-05,1.9235069952409423e-06,-3.003202443297697e-05,3.003202443297697e-05,-0.05696737257764809,7.96468255593305e+25
electrolyte_concentration_molL,4.328761281083062e-05,0.24,3.9e-13,395.1674866729765,2.3,4.328761281083062e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,4.6429001829213745e-08,2.592179469308677e-09,611269159.2471288,2.5474810121057135e-05,1.8682499252334598e-06,-3.117175856566855e-05,3.117175856566855e-05,-0.056969294205229955,8.058044468242589e+25
electrolyte_concentration_molL,4.977023564332114e-05,0.24,3.9e-13,395.1674866729765,2.3,4.977023564332114e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,4.3299842498371885e-08,2.5574759735067112e-09,602071023.6480415,2.3843159286008884e-05,1.8124475875830032e-06,-3.191882002607032e-05,3.191882002607032e-05,-0.05697122891119574,8.15340295762563e+25
electrolyte_concentration_molL,5.72236765935022e-05,0.24,3.9e-13,395.1674866729765,2.3,5.72236765935022e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,4.0381578033497905e-08,2.5222968628696595e-09,592645915.8857834,2.212440833511794e-05,1.756145908080496e-06,-3.2183155718609536e-05,3.2183155718609536e-05,-0.05697313816980967,8.251427192586359e+25
electrolyte_concentration_molL,6.579332246575683e-05,0.24,3.9e-13,395.1674866729765,2.3,6.579332246575683e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,3.765999482646606e-08,2.4866780799381563e-09,582989084.3679726,2.033926447187937e-05,1.6993813624610355e-06,-3.1901200262432734e-05,3.1901200262432734e-05,-0.056974960998203074,8.351236654482106e+25
electrolyte_concentration_molL,7.56463327554629e-05,0.24,3.9e-13,395.1674866729765,2.3,7.56463327554629e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,3.5121837218767e-08,2.4506529746823462e-09,573093965.9925984,1.851444542912263e-05,1.6421834692856286e-06,-3.1050339627221484e-05,3.1050339627221484e-05,-0.05697664376537692,8.452557701520699e+25
