z_m,z_mm,side,distance_from_interface_m,distance_from_interface_mm,peak_abs,peak_signed,peak_time_s,peak_time_us,liu_dipole_peak_distance_m,liu_dipole_peak_distance_mm
0.05300000000000013,53.00000000000013,T_E,0.05300000000000013,53.00000000000013,99772045676.99786,-99772045676.99786,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.05400000000000013,54.00000000000013,T_E,0.05400000000000013,54.00000000000013,99646562708.85109,-99646562708.85109,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.05500000000000013,55.000000000000135,T_E,0.05500000000000013,55.000000000000135,99517822940.44243,-99517822940.44243,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.05600000000000013,56.000000000000135,T_E,0.05600000000000013,56.000000000000135,99386031670.60493,-99386031670.60493,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.057000000000000134,57.000000000000135,T_E,0.057000000000000134,57.000000000000135,99251381258.10254,-99251381258.10254,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.058000000000000135,58.000000000000135,T_E,0.058000000000000135,58.000000000000135,99114051953.99196,-99114051953.99196,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.059000000000000136,59.000000000000135,T_E,0.059000000000000136,59.000000000000135,98974212680.0864,-98974212680.0864,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.06000000000000014,60.000000000000135,T_E,0.06000000000000014,60.000000000000135,98832021756.9639,-98832021756.9639,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.06100000000000014,61.000000000000135,T_E,0.06100000000000014,61.000000000000135,98687627584.75243,-98687627584.75243,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.06200000000000014,62.000000000000135,T_E,0.06200000000000014,62.000000000000135,98541169279.72972,-98541169279.72972,5.7785669396259644e-05,57.78566939625964,0.0,0.0
0.06300000000000014,63.00000000000014,T_E,0.06300000000000014,63.00000000000014,98392777269.58798,-98392777269.58798,5.7785669396259644e-05,57.78566939625964,0.0,0.0
