Time_s,Time_norm,RE_abs,TTM_abs,RE_real,RE_imag,TTM_real,TTM_imag,case,Pe,RE_phase_rad,TTM_phase_rad
101.4,0.24950787401574806,301105.4899465555,3.9313779145934905e-12,-217599.83909500137,-208122.14226695045,-5.237907295223302e-13,-3.896328474220305e-12,Pe10,10.0,-2.378453457107153,-1.704427053279373
106.4,0.2618110236220473,280226.0575497694,3.819059188555461e-12,-202254.63067423814,-193958.00499261226,1.2297310136718338e-12,-3.615656886335253e-12,Pe10,10.0,-2.3771312615837523,-1.242956755060656
111.4,0.27411417322834647,262486.2743882269,6.816020484598559e-12,-189273.0805129487,-181864.63437224508,-5.258134830294397e-12,-4.3370673678088156e-12,Pe10,10.0,-2.3761532874001157,-2.4518937683616597
116.4,0.2864173228346457,250699.23482898052,5.981388527115061e-12,-180610.4507922535,-173867.68362307956,-4.445922502180296e-12,-4.001347500144241e-12,Pe10,10.0,-2.3752138695541576,-2.4087754084092174
121.4,0.2987204724409449,238300.11013361078,5.89674341008627e-12,-171542.37638360122,-165409.05535779448,5.170650187666361e-12,-2.834776795654584e-12,Pe10,10.0,-2.374394869251513,-0.5014938643630612
126.4,0.31102362204724415,229063.34321636724,6.4165359902081156e-12,-164773.2846864952,-159121.90251213836,5.7029113256614035e-12,-2.9408734289797195e-12,Pe10,10.0,-2.3736409018771942,-0.47611223984587747
131.4,0.32332677165354334,213363.81119596923,3.8075408347223116e-12,-153332.6171479028,-148368.54264514384,-2.053365582607634e-12,-3.2064087375505153e-12,Pe10,10.0,-2.372646619904001,-2.140389127011355
136.4,0.33562992125984253,192302.0814417692,2.7283673225676246e-12,-138085.9028336887,-133837.11729352927,-3.9831413230511704e-13,-2.699135805931382e-12,Pe10,10.0,-2.3718181759827406,-1.717309868293923
141.4,0.3479330708661418,186793.3041782702,3.687753795982548e-12,-134082.44375928343,-130052.43850606713,-2.5852194060587246e-12,-2.629860962545562e-12,Pe10,10.0,-2.3714506825993205,-2.347634609422061
146.4,0.36023622047244097,183250.7030307339,3.740297823142994e-12,-131501.4678395244,-127625.17039090976,2.613454670951483e-12,-2.675758301620327e-12,Pe10,10.0,-2.3711524596832776,-0.7971769950708638
151.4,0.3725393700787402,178042.1985706921,3.4795228029481655e-12,-127725.698112436,-124036.97236540649,-2.2308824301938377e-12,-2.6702513961963762e-12,Pe10,10.0,-2.370845041133394,-2.2667870934949943
156.4,0.3848425196850394,173538.24725047217,5.304312454679707e-12,-124456.52639880755,-120938.39876362236,-4.450635413118895e-12,-2.8857538073027395e-12,Pe10,10.0,-2.3705301029859918,-2.566349077539052
