Time_s,Porosity,frequency_Hz,k_dyn_abs,L_abs,sigma_abs,omega_t,sigma_f,C_molL,pH,case,Pe,Time_norm
7569.2,0.8078,261121.4036184286,4.388790514078615e-13,2.086423818688224e-09,0.009515423358893835,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,270227.59911913675,4.243926797070335e-13,2.050657354502775e-09,0.009515421418150736,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,279651.35876950115,4.1037969908957287e-13,2.0154987378509133e-09,0.009515419443950308,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,289403.757116421,3.968248678403232e-13,1.9809376419477583e-09,0.00951541743571895,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,299496.25491408375,3.8371342436446326e-13,1.946963915299669e-09,0.009515415392873396,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,309940.71259233245,3.710310725365719e-13,1.9135675787453825e-09,0.00951541331482054,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,320749.40419472224,3.5876396747737015e-13,1.880738822545733e-09,0.009515411200957308,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,331935.03180264105,3.4689870174632547e-13,1.8484680035213018e-09,0.009515409050670474,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,343510.7404624551,3.3542229193858806e-13,1.8167456422372822e-09,0.009515406863336516,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,355490.13363320846,3.2432216567507433e-13,1.7855624202348918e-09,0.009515404638321446,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,367887.2891730403,3.135861489747779e-13,1.7549091773086539e-09,0.00951540237498064,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,380716.7758831019,3.032024539987005e-13,1.72477690882886e-09,0.009515400072658678,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,393993.67062841705,2.9315966715506254e-13,1.6951567631085388e-09,0.009515397730689181,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,407733.5760558058,2.834467375557371e-13,1.6660400388142628e-09,0.009515395348394615,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,421952.63892968884,2.740529658141105e-13,1.6374181824201312e-09,0.00951539292508615,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,436667.56910733244,2.6496799317482744e-13,1.6092827857042419e-09,0.009515390460063456,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,451895.6591758163,2.5618179096614263e-13,1.5816255832870245e-09,0.00951538795261455,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,467654.8047738141,2.476846503658317e-13,1.5544384502107737e-09,0.009515385402015596,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,483963.52562206396,2.39467172471858e-13,1.527713399559723e-09,0.009515382807530734,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
